fName,fAddress,capacity,fSize,fInfo,reserve,price1,price2
상암 서울 월드컵 풋살경기장 A면,서울시 마포구 성산동 420,구장크기 : 40m x 19m,추천인원 : 5vs5 ( 6vs6도 가능 ) ,구장정보 : 야외  인조잔디,불가,100000,120000
상암 서울 월드컵 풋살경기장 B면,서울시 마포구 성산동 420,구장크기 : 40m x 19m,추천인원 : 5vs5 ( 6vs6도 가능 ) ,구장정보 : 야외  인조잔디,불가,100000,120000
상암 서울 월드컵 풋살경기장 C면,서울시 마포구 성산동 420,구장크기 : 33m x 19m,추천인원 : 5vs5,구장정보 : 야외  인조잔디,불가,100000,120000
영등포공원 풋살경기장,서울시 영등포구 영등포동 582-6,구장크기 : 40m x 24m,추천인원 : 6vs6,구장정보 : 야외  인조잔디,불가,100000,120000
잠실 제 1 풋살경기장,서울시 송파구 잠실동 10,구장크기 : 40m x 20m,추천인원 : 5vs5 ( 6vs6도 가능 ) ,구장정보 : 야외  인조잔디,불가,100000,120000
